mapping,camera_id,runA_prev,runA_frame,runB_before,runB_after,increment,status,tier,confidence,runA_too_dark,runB_span_too_dark,dark,max_cross_camera_disagreement_within_10,cross_camera_disagreement_over_6
bayes_posterior,cam0,2554,2555,2560,2570,10,accepted_posterior,,0.412514,False,False,False,6.0,False
submitted_unified,cam0,208,209,126,136,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,12.0,True
submitted_unified,cam0,369,370,282,297,15,accepted_strong,uncalibrated_strong,1.00,False,False,False,13.0,True
submitted_unified,cam0,641,642,541,547,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,5.0,False
submitted_unified,cam0,853,854,743,750,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,6.0,False
submitted_unified,cam0,901,902,790,801,11,accepted_strong,uncalibrated_strong,1.00,False,False,False,16.0,True
submitted_unified,cam0,906,907,803,813,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,16.0,True
submitted_unified,cam0,1069,1070,983,990,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,18.0,True
submitted_unified,cam0,1094,1095,1007,1014,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,19.0,True
submitted_unified,cam0,1155,1156,1054,1060,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,3.0,False
submitted_unified,cam0,1320,1321,1219,1231,12,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
submitted_unified,cam0,1364,1365,1264,1271,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,3.0,False
submitted_unified,cam0,1566,1567,1480,1488,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,4.0,False
submitted_unified,cam0,1583,1584,1500,1509,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,,
submitted_unified,cam0,1602,1603,1520,1529,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,11.0,True
submitted_unified,cam0,1611,1612,1529,1542,13,accepted_strong,uncalibrated_strong,1.00,False,True,True,12.0,True
submitted_unified,cam0,1638,1639,1554,1565,11,accepted_strong,uncalibrated_strong,1.00,False,True,True,13.0,True
submitted_unified,cam0,1643,1644,1565,1573,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,13.0,True
submitted_unified,cam0,1660,1661,1580,1586,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,8.0,True
submitted_unified,cam0,1663,1664,1588,1596,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,8.0,True
submitted_unified,cam0,1674,1675,1599,1609,10,accepted_strong,uncalibrated_strong,1.00,False,True,True,14.0,True
submitted_unified,cam0,1682,1683,1611,1617,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,15.0,True
submitted_unified,cam0,1945,1946,1894,1904,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,9.0,True
submitted_unified,cam0,2399,2400,2373,2379,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,11.0,True
submitted_unified,cam0,2415,2416,2397,2414,17,accepted_strong,uncalibrated_strong,1.00,False,False,False,20.0,True
submitted_unified,cam0,2428,2429,2426,2432,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,23.0,True
submitted_unified,cam0,2558,2559,2560,2575,15,accepted_strong,uncalibrated_strong,1.00,False,False,False,12.0,True
submitted_unified,cam0,2578,2579,2588,2595,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,10.0,True
variant:grey,cam0,209,210,126,136,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,15.0,True
variant:grey,cam0,235,236,140,146,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,8.0,True
variant:grey,cam0,641,642,541,547,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,5.0,False
variant:grey,cam0,852,853,742,751,9,accepted_strong,uncalibrated_strong,1.00,False,False,False,7.0,True
variant:grey,cam0,872,873,778,785,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,21.0,True
variant:grey,cam0,904,905,802,815,13,accepted_strong,uncalibrated_strong,1.00,False,False,False,19.0,True
variant:grey,cam0,1067,1068,967,973,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,15.0,True
variant:grey,cam0,1079,1080,993,999,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,18.0,True
variant:grey,cam0,1094,1095,1007,1018,11,accepted_strong,uncalibrated_strong,1.00,False,False,False,23.0,True
variant:grey,cam0,1155,1156,1054,1060,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,3.0,False
variant:grey,cam0,1327,1328,1226,1234,8,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
variant:grey,cam0,1364,1365,1264,1271,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
variant:grey,cam0,1564,1565,1478,1488,10,accepted_strong,uncalibrated_strong,1.00,False,True,True,13.0,True
variant:grey,cam0,1583,1584,1500,1509,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,15.0,True
variant:grey,cam0,1586,1587,1509,1518,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,15.0,True
variant:grey,cam0,1602,1603,1520,1529,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,11.0,True
variant:grey,cam0,1611,1612,1529,1542,13,accepted_strong,uncalibrated_strong,1.00,False,True,True,12.0,True
variant:grey,cam0,1638,1639,1554,1565,11,accepted_strong,uncalibrated_strong,1.00,False,True,True,9.0,True
variant:grey,cam0,1643,1644,1565,1573,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,7.0,True
variant:grey,cam0,1660,1661,1580,1586,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,3.0,False
variant:grey,cam0,1663,1664,1588,1596,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,3.0,False
variant:grey,cam0,1674,1675,1599,1609,10,accepted_strong,uncalibrated_strong,1.00,False,True,True,11.0,True
variant:grey,cam0,1681,1682,1611,1617,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,11.0,True
variant:grey,cam0,1683,1684,1617,1626,9,accepted_strong,uncalibrated_strong,1.00,False,True,True,11.0,True
variant:grey,cam0,1696,1697,1630,1637,7,accepted_strong,uncalibrated_strong,1.00,False,True,True,9.0,True
variant:grey,cam0,1945,1946,1894,1904,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,9.0,True
variant:grey,cam0,2399,2400,2373,2379,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,12.0,True
variant:grey,cam0,2413,2414,2393,2399,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,20.0,True
variant:grey,cam0,2414,2415,2399,2415,16,accepted_strong,uncalibrated_strong,1.00,False,False,False,20.0,True
variant:grey,cam0,2428,2429,2426,2432,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
variant:grey,cam0,2558,2559,2560,2575,15,accepted_strong,uncalibrated_strong,1.00,False,False,False,12.0,True
variant:grey,cam0,2578,2579,2588,2595,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,10.0,True
variant:parallax,cam0,208,209,124,134,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,18.0,True
variant:parallax,cam0,369,370,281,296,15,accepted_strong,uncalibrated_strong,1.00,False,False,False,10.0,True
variant:parallax,cam0,641,642,539,545,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,6.0,False
variant:parallax,cam0,853,854,743,750,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,6.0,False
variant:parallax,cam0,901,902,790,800,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,11.0,True
variant:parallax,cam0,906,907,802,811,9,accepted_strong,uncalibrated_strong,1.00,False,False,False,11.0,True
variant:parallax,cam0,1062,1063,962,968,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,16.0,True
variant:parallax,cam0,1069,1070,983,990,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,16.0,True
variant:parallax,cam0,1094,1095,1006,1014,8,accepted_strong,uncalibrated_strong,1.00,False,False,False,18.0,True
variant:parallax,cam0,1155,1156,1053,1059,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,10.0,True
variant:parallax,cam0,1320,1321,1221,1233,12,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
variant:parallax,cam0,1364,1365,1266,1273,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,0.0,False
variant:parallax,cam0,1566,1567,1483,1491,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,3.0,False
variant:parallax,cam0,1583,1584,1501,1510,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,,
variant:parallax,cam0,1602,1603,1520,1527,7,accepted_strong,uncalibrated_strong,1.00,True,True,True,13.0,True
variant:parallax,cam0,1611,1612,1527,1540,13,accepted_strong,uncalibrated_strong,1.00,False,True,True,15.0,True
variant:parallax,cam0,1638,1639,1553,1562,9,accepted_strong,uncalibrated_strong,1.00,False,True,True,12.0,True
variant:parallax,cam0,1643,1644,1562,1570,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,12.0,True
variant:parallax,cam0,1663,1664,1587,1594,7,accepted_strong,uncalibrated_strong,1.00,False,True,True,7.0,True
variant:parallax,cam0,1674,1675,1599,1610,11,accepted_strong,uncalibrated_strong,1.00,False,True,True,14.0,True
variant:parallax,cam0,1945,1946,1894,1904,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,10.0,True
variant:parallax,cam0,2415,2416,2394,2411,17,accepted_strong,uncalibrated_strong,1.00,False,False,False,21.0,True
variant:parallax,cam0,2428,2429,2428,2434,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,25.0,True
variant:parallax,cam0,2558,2559,2561,2575,14,accepted_strong,uncalibrated_strong,1.00,False,False,False,21.0,True
variant:parallax,cam0,2578,2579,2590,2598,8,accepted_strong,uncalibrated_strong,1.00,False,False,False,19.0,True
variant:sky,cam0,208,209,126,136,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,12.0,True
variant:sky,cam0,369,370,282,297,15,accepted_strong,uncalibrated_strong,1.00,False,False,False,13.0,True
variant:sky,cam0,641,642,541,547,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,5.0,False
variant:sky,cam0,852,853,742,751,9,accepted_strong,uncalibrated_strong,1.00,False,False,False,8.0,True
variant:sky,cam0,901,902,790,801,11,accepted_strong,uncalibrated_strong,1.00,False,False,False,17.0,True
variant:sky,cam0,906,907,803,813,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,17.0,True
variant:sky,cam0,1069,1070,983,990,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,19.0,True
variant:sky,cam0,1094,1095,1007,1014,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,19.0,True
variant:sky,cam0,1155,1156,1054,1060,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,3.0,False
variant:sky,cam0,1320,1321,1219,1231,12,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
variant:sky,cam0,1348,1349,1246,1259,13,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
variant:sky,cam0,1566,1567,1480,1488,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,5.0,False
variant:sky,cam0,1583,1584,1500,1509,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,,
variant:sky,cam0,1602,1603,1520,1529,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,,
variant:sky,cam0,1611,1612,1529,1542,13,accepted_strong,uncalibrated_strong,1.00,False,True,True,,
variant:sky,cam0,1638,1639,1554,1565,11,accepted_strong,uncalibrated_strong,1.00,False,True,True,14.0,True
variant:sky,cam0,1643,1644,1565,1573,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,14.0,True
variant:sky,cam0,1660,1661,1580,1586,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,9.0,True
variant:sky,cam0,1663,1664,1588,1596,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,9.0,True
variant:sky,cam0,1674,1675,1599,1609,10,accepted_strong,uncalibrated_strong,1.00,False,True,True,13.0,True
variant:sky,cam0,1682,1683,1611,1617,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,14.0,True
variant:sky,cam0,1945,1946,1894,1904,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,9.0,True
variant:sky,cam0,2399,2400,2373,2379,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,11.0,True
variant:sky,cam0,2415,2416,2397,2414,17,accepted_strong,uncalibrated_strong,1.00,False,False,False,20.0,True
variant:sky,cam0,2428,2429,2426,2432,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,23.0,True
variant:sky,cam0,2558,2559,2560,2575,15,accepted_strong,uncalibrated_strong,1.00,False,False,False,12.0,True
variant:sky,cam0,2578,2579,2588,2595,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,11.0,True
variant:sky+grey,cam0,209,210,126,136,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,15.0,True
variant:sky+grey,cam0,235,236,140,146,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,8.0,True
variant:sky+grey,cam0,369,370,282,297,15,accepted_strong,uncalibrated_strong,1.00,False,False,False,12.0,True
variant:sky+grey,cam0,641,642,541,547,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,5.0,False
variant:sky+grey,cam0,852,853,742,751,9,accepted_strong,uncalibrated_strong,1.00,False,False,False,7.0,True
variant:sky+grey,cam0,872,873,778,785,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,21.0,True
variant:sky+grey,cam0,904,905,802,815,13,accepted_strong,uncalibrated_strong,1.00,False,False,False,19.0,True
variant:sky+grey,cam0,1067,1068,967,973,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,11.0,True
variant:sky+grey,cam0,1082,1083,992,1001,9,accepted_strong,uncalibrated_strong,1.00,False,False,False,17.0,True
variant:sky+grey,cam0,1094,1095,1007,1014,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,19.0,True
variant:sky+grey,cam0,1155,1156,1054,1060,6,accepted_sequence_supported,uncalibrated_sequence_supported,0.67,False,False,False,3.0,False
variant:sky+grey,cam0,1327,1328,1226,1234,8,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
variant:sky+grey,cam0,1364,1365,1264,1271,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,,
variant:sky+grey,cam0,1564,1565,1478,1488,10,accepted_strong,uncalibrated_strong,1.00,False,True,True,13.0,True
variant:sky+grey,cam0,1583,1584,1500,1509,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,15.0,True
variant:sky+grey,cam0,1586,1587,1509,1518,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,15.0,True
variant:sky+grey,cam0,1599,1600,1520,1529,9,accepted_strong,uncalibrated_strong,1.00,True,True,True,13.0,True
variant:sky+grey,cam0,1611,1612,1529,1542,13,accepted_strong,uncalibrated_strong,1.00,False,True,True,12.0,True
variant:sky+grey,cam0,1638,1639,1554,1565,11,accepted_strong,uncalibrated_strong,1.00,False,True,True,9.0,True
variant:sky+grey,cam0,1643,1644,1565,1573,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,7.0,True
variant:sky+grey,cam0,1660,1661,1580,1586,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,,
variant:sky+grey,cam0,1663,1664,1588,1596,8,accepted_strong,uncalibrated_strong,1.00,False,True,True,,
variant:sky+grey,cam0,1674,1675,1599,1609,10,accepted_strong,uncalibrated_strong,1.00,False,True,True,15.0,True
variant:sky+grey,cam0,1681,1682,1611,1617,6,accepted_strong,uncalibrated_strong,1.00,False,True,True,15.0,True
variant:sky+grey,cam0,1683,1684,1617,1626,9,accepted_strong,uncalibrated_strong,1.00,False,True,True,15.0,True
variant:sky+grey,cam0,1696,1697,1630,1637,7,accepted_strong,uncalibrated_strong,1.00,False,True,True,9.0,True
variant:sky+grey,cam0,1945,1946,1894,1904,10,accepted_strong,uncalibrated_strong,1.00,False,False,False,9.0,True
variant:sky+grey,cam0,2399,2400,2373,2379,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,8.0,True
variant:sky+grey,cam0,2413,2414,2393,2399,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,24.0,True
variant:sky+grey,cam0,2414,2415,2399,2415,16,accepted_strong,uncalibrated_strong,1.00,False,False,False,24.0,True
variant:sky+grey,cam0,2428,2429,2426,2432,6,accepted_strong,uncalibrated_strong,1.00,False,False,False,23.0,True
variant:sky+grey,cam0,2558,2559,2560,2575,15,accepted_strong,uncalibrated_strong,1.00,False,False,False,12.0,True
variant:sky+grey,cam0,2578,2579,2588,2595,7,accepted_strong,uncalibrated_strong,1.00,False,False,False,11.0,True
