camera_id,runA_frame,runB_frame,confidence,tier,support_score,confidence_is_calibrated_probability,status,left_anchor_id,right_anchor_id,candidate_id,candidate_decision,method
cam0,0,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,1,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,2,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,3,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,4,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,5,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,6,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,7,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,8,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,9,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,10,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,11,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,12,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,13,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,14,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,15,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,16,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,17,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
cam0,18,,0.00,abstain,,False,pre_route_no_correspondence,,,,,frozen_query_path_adjacent_acceptance_interpolation
